,Release date,Name,Details
111,"July 27, 2016",''[[Volcanion and the Mechanical Magearna Music Collection]]'',Soundtrack to ''[[M19|Volcanion and the Mechanical Magearna]]''
112,"October 26, 2016",''[[Pocket Monsters XY&Z TV Anime Character Song Project Collection Volume 2]]'',A soundtrack featuring [[wp:Image song|character songs]] from the ''XY&Z'' arc of ''[[Pokémon the Series: XY]]''.
113,"November 30, 2016",''[[Pokémon Sun & Pokémon Moon: Super Music Collection|Nintendo 3DS Pokémon Sun & Moon Super Music Complete]]'',Soundtrack to the games [[Pokémon Sun and Moon]]
114,"April 12, 2017",''[[Alola!! / Pose]]'',Soundtrack for ''[[Pokémon the Series: Sun & Moon]]''
115,"July 26, 2017",''[[I Choose You! Music Collection]]'',Soundtrack to ''[[M20|I Choose You!]]''
116,"November 29, 2017",''[[Aim to Be a Pokémon Master -20th Anniversary- (CD)|Aim to Be a Pokémon Master -20th Anniversary-]]'',Soundtrack for ''[[Pokémon the Series: Sun & Moon]]''
117,"April 25, 2018",''[[OT WORKS]]'',"CD released by [[Taiiku Okazaki]] that contains the ending themes ''[[Pose]]'' and ''[[Twerp, Twerpette]]''"
118,"May 2, 2018",''[[Future Connection (single)|Future Connection]]'',Single of ''[[Future Connection]]''
119,"July 4, 2018",''[[Limited FOV of a Shut-In]]'',CD released by Mewhan that contains the song ''[[Eevee March]]''
120,"July 25, 2018",''[[Everyone's Story Music Collection]]'',Soundtrack to ''[[M21|Everyone's Story]]''
121,"July 25, 2018",''[[Breath (single)|Breath]]'',Single of ''[[Breath]]''
122,"December 1, 2018","''[[Pokémon: Let's Go, Pikachu! & Pokémon: Let's Go, Eevee! Super Music Collection|Nintendo Switch Pokémon: Let's Go, Pikachu! · Pokémon: Let's Go, Eevee! Super Music Complete]]''","Soundtrack to the games [[Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!]]"
123,"July 10, 2019",''[[Together With the Wind (2019 single)|Together With the Wind]]'',Single of ''[[Together With the Wind]]''
124,"July 24, 2019",''[[Mewtwo Strikes Back Evolution Music Collection]]'',Soundtrack to ''[[M22|Mewtwo Strikes Back Evolution]]''
125,"December 13, 2019",''[[Pokémon Healing ~Listening to healing music with Psyduck]]'',CD of healing music
126,"December 23, 2020",''[[Koko Music Collection]]'',Soundtrack to ''[[M23|Koko]]''
127,"February 27th, 2024",''[[Pokémon Sword - Shield + Expansion Pass Super Music Collection]]'',Soundtrack to the games [[Pokémon Sword and Shield]] and its [[Pokémon Sword and Shield Expansion Pass|expansion pass]]
128,"February 27th, 2024",''[[Pokémon LEGENDS Arceus Super Music Collection]]'',Soundtrack to [[Pokémon Legends: Arceus]]
129,"February 27th, 2024",''[[Pokémon Scarlet - Violet + The Hidden Treasure of Area Zero Super Music Collection]]'',"Soundtrack to the games [[Pokémon Scarlet and Violet]] and its DLC, [[The Hidden Treasure of Area Zero]]"
